Field	RAJ2000	DEJ2000	ID	Period	V-I	F160W	e_F160W	Offset	Bias	IMrms	[O/H]	Flag	OCat
n4536	188.5900	+02.19151	  60845	 21.260	 0.75	23.93	 0.29	 0.83	 0.14	 13.60	 8.86	         	  0
n4536	188.5960	+02.17595	  36586	 21.290	 0.95	25.16	 0.61	 3.13	 0.48	  8.65	 8.74	rej      	  0
n4536	188.5970	+02.18182	  45000	 21.580	 0.90	24.39	 0.35	 1.71	 0.35	  5.02	 8.85	         	  0
n4536	188.5880	+02.18875	  58232	 21.940	 0.89	24.34	 0.25	 3.15	 0.24	 11.10	 8.80	         	  0
n4536	188.5920	+02.18304	  49022	 22.660	 0.95	24.97	 0.62	 3.44	 0.05	  3.38	 8.79	         	  0
n4536	188.5860	+02.18894	  60060	 22.680	 1.11	24.80	 0.47	 3.15	 0.36	 22.50	 8.77	         	  0
n4536	188.5930	+02.16838	  25262	 22.910	 1.30	25.05	 0.43	 1.45	 0.19	 23.10	 8.58	rej      	  0
n4536	188.5830	+02.18540	  57215	 23.210	 0.91	24.48	 0.34	 1.05	 0.12	 16.90	 8.68	         	  0
n4536	188.5850	+02.19171	  64002	 24.310	 1.20	23.77	 0.31	 4.71	 0.25	 52.00	 8.79	         	  0
n4536	188.5990	+02.20055	  67162	 24.430	 0.96	24.02	 0.18	 0.50	 0.07	 13.20	 9.00	         	  0
n4536	188.5870	+02.18386	  52964	 28.050	 1.17	23.18	 0.24	 0.94	 0.08	 50.90	 8.73	rej      	  0
n4536	188.5910	+02.18233	  49080	 28.740	 0.97	23.89	 0.32	 0.83	 0.15	  5.33	 8.76	         	  0
n4536	188.5870	+02.18716	  56988	 29.060	 0.47	23.74	 0.35	 1.96	 0.22	 29.30	 8.77	         	  0
n4536	188.5980	+02.17839	  39040	 29.980	 1.12	23.48	 0.36	 0.72	 0.28	 21.80	 8.81	         	  0
n4536	188.5930	+02.18398	  49524	 30.200	 1.11	24.32	 0.50	 6.19	 0.37	 19.90	 8.82	         	  0
n4536	188.5920	+02.16953	  28024	 30.220	 1.13	24.14	 0.26	 1.55	 0.10	 35.70	 8.58	         	  0
n4536	188.5930	+02.16817	  24880	 30.230	 1.05	24.65	 0.29	 1.57	 0.07	  8.61	 8.57	rej      	  0
n4536	188.5980	+02.18340	  46407	 31.320	 1.00	23.55	 0.21	 1.05	 0.12	  9.07	 8.89	         	  0
n4536	188.5910	+02.17663	  41282	 32.940	 0.97	23.21	 0.26	 0.50	 0.18	  3.49	 8.69	         	  0
n4536	188.5830	+02.19109	  64465	 35.160	 0.90	22.90	 0.24	 0.56	 0.16	  4.45	 8.75	rej      	  0
n4536	188.5870	+02.18693	  56960	 35.880	 1.09	23.56	 0.29	 0.17	 0.21	 29.60	 8.76	         	  0
n4536	188.5880	+02.18631	  55447	 37.270	 0.92	23.91	 0.32	 0.41	 0.23	 18.70	 8.77	         	  0
n4536	188.5780	+02.19303	  70171	 37.590	 0.95	23.49	 0.17	 0.31	 0.08	 23.00	 8.69	         	  0
n4536	188.6050	+02.19774	  59779	 39.620	 0.75	24.23	 0.16	 0.31	 0.05	  8.52	 9.05	rej      	  0
n4536	188.5900	+02.20194	  74682	 42.660	 1.04	23.10	 0.19	 0.07	 0.12	 11.20	 8.92	         	  0
n4536	188.5870	+02.17143	  35530	 42.930	 1.06	24.10	 0.19	 1.15	 0.06	  9.11	 8.54	rej      	  0
n4536	188.5870	+02.18828	  58154	 49.380	 0.78	22.97	 0.22	 0.20	 0.10	 38.50	 8.79	         	  0
n4536	188.5990	+02.19737	  62963	 50.040	 1.09	23.47	 0.14	 0.27	 0.02	  1.93	 9.02	         	  0
n4536	188.5830	+02.17335	  42055	 50.670	 1.02	23.31	 0.14	 0.86	 0.02	  4.32	 8.52	         	  0
n4536	188.5840	+02.19363	  66973	 52.410	 0.75	22.79	 0.21	 0.14	 0.19	  0.88	 8.79	         	  0
n4536	188.5820	+02.19568	  71233	 54.450	 1.00	22.52	 0.16	 0.50	 0.07	  9.93	 8.78	rej      	  0
n4536	188.5830	+02.17743	  47585	 54.530	 0.97	22.68	 0.12	 0.34	 0.03	 13.80	 8.57	rej      	  0
n4536	188.5990	+02.19942	  65517	 60.160	 1.13	22.93	 0.13	 0.44	 0.07	 20.70	 9.01	         	  0
n4536	188.5890	+02.20044	  73471	 64.740	 1.04	21.34	 0.16	 0.27	 0.06	 37.90	 8.90	rej      	  0
n4536	188.5880	+02.19976	  72937	 66.230	 0.94	23.10	 0.20	 0.61	 0.09	 21.90	 8.89	         	  1
n4536	188.6000	+02.18247	  44078	111.900	 0.90	22.61	 0.13	 0.56	 0.04	  9.95	 8.90	rej      	  0
n4536	188.5970	+02.18476	  48663	119.100	 1.14	22.21	 0.12	 0.44	 0.03	 21.80	 8.88	         	  0
n4536	188.5870	+02.18864	  58929	158.100	 1.09	21.79	 0.12	 0.02	 0.02	 22.60	 8.78	         	  0
n4536	188.5920	+02.18447	  51147	187.200	 1.25	21.87	 0.18	 0.99	 0.04	 30.40	 8.80	rej      	  0
n4639	190.7310	+13.26100	  33734	 21.690	 0.86	24.58	 0.30	 0.30	 0.15	  0.26	 8.88	           	  0
n4639	190.7260	+13.25700	  42674	 21.820	 0.86	25.51	 0.73	 2.38	 0.43	 23.00	 9.14		          0
n4639	190.7250	+13.25880	  45895	 21.890	 0.95	24.51	 0.43	 5.73	 0.42	  8.56	 9.13	         	  0
n4639	190.7050	+13.25070	 102787	 22.380	 1.00	25.18	 0.32	 2.48	 0.11	 17.70	 8.77	         	  0
n4639	190.7150	+13.24900	  70860	 24.250	 1.05	24.68	 0.59	 5.88	 0.44	 19.30	 8.97	         	  0
n4639	190.7210	+13.24730	  46993	 24.900	 1.10	24.71	 0.48	 1.09	 0.42	 19.50	 8.98	         	  1
n4639	190.7240	+13.25070	  41122	 25.800	 0.92	23.87	 0.35	 5.19	 0.69	 49.50	 9.10	rej      	  0
n4639	190.7240	+13.24920	  39959	 26.990	 0.90	25.52	 0.67	 1.16	 0.28	 15.90	 9.05	rej      	  2
n4639	190.7210	+13.26480	  64316	 27.140	 0.93	23.82	 0.60	 0.37	 0.41	  1.85	 9.03	rej      	  0
n4639	190.7260	+13.24810	  34553	 29.190	 0.72	25.18	 0.49	 1.58	 0.20	  4.07	 8.98	         	  0
n4639	190.7090	+13.26990	 107795	 30.020	 0.87	24.81	 0.28	 0.17	 0.19	 15.00	 8.87	         	  0
n4639	190.7190	+13.26800	  78588	 30.840	 0.78	24.37	 0.36	 0.66	 0.13	 15.30	 8.93	         	  0
n4639	190.7160	+13.27610	  97020	 30.900	 1.13	25.24	 0.14	 0.69	 0.01	  0.56	 8.63	rej      	  0
n4639	190.7330	+13.25650	  27312	 33.040	 0.82	24.21	 0.20	 0.75	 0.06	  9.54	 8.88	         	  2
n4639	190.7100	+13.24950	  89925	 33.440	 0.75	24.93	 0.26	 0.41	 0.14	  2.61	 8.87	         	  0
n4639	190.7240	+13.25470	  45055	 35.000	 0.87	23.75	 0.43	 2.88	 0.46	 53.50	 9.19	         	  0
n4639	190.7230	+13.25840	  50944	 35.160	 0.97	24.17	 0.61	 1.86	 0.43	 20.90	 9.20	         	  0
n4639	190.7260	+13.24300	  32876	 36.410	 1.04	23.83	 0.32	 2.73	-0.10	 16.40	 8.81	         	  0
n4639	190.7150	+13.25660	  81322	 38.150	 0.88	24.99	 0.81	 6.21	 0.49	 49.70	 9.25	rej      	  0
n4639	190.7110	+13.25230	  87883	 40.900	 0.88	23.52	 0.32	 1.02	 0.23	 10.60	 9.01	         	  0
n4639	190.7050	+13.26790	 114011	 41.180	 0.92	23.95	 0.23	 0.23	 0.08	 16.80	 8.86	         	  1
n4639	190.7170	+13.25350	  65236	 41.360	 0.78	25.04	 0.80	 4.98	 0.67	 62.60	 9.20	rej      	  0
n4639	190.7330	+13.25610	  26954	 43.750	 0.94	23.88	 0.20	 1.98	 0.09	 17.40	 8.88	         	  2
n4639	190.7150	+13.25240	  76749	 45.670	 1.06	24.23	 0.67	 3.35	 0.45	 26.60	 9.10	         	  0
n4639	190.7040	+13.26850	 115343	 48.340	 1.15	24.44	 0.24	 0.11	 0.15	 10.90	 8.84	         	  1
n4639	190.7180	+13.27400	  86917	 48.910	 1.03	23.98	 0.11	 0.18	 0.00	  7.92	 8.69	         	  1
n4639	190.7110	+13.25580	  91692	 49.610	 1.18	23.35	 0.39	 2.04	 0.33	 33.40	 9.11	         	  0
n4639	190.7200	+13.24660	  47978	 54.970	 0.85	24.14	 0.39	 4.23	 0.19	  1.56	 8.95	         	  2
n4639	190.7150	+13.25560	  80923	 58.320	 1.12	24.21	 0.40	 2.05	 0.42	 16.20	 9.21	         	  0
n4639	190.7280	+13.25640	  36973	 64.850	 1.42	23.64	 0.25	 0.23	 0.16	  9.71	 9.07	         	  0
n4639	190.7140	+13.26500	  91486	 86.690	 0.93	24.90	 0.71	 4.73	 0.50	  7.54	 9.09	rej      	  0
n4639	190.7140	+13.26310	  89399	105.300	 0.85	23.12	 0.35	 1.09	 0.36	 49.80	 9.15	         	  0
n3370	161.7590	+17.28010	   8807	 23.720	 1.05	25.78	 0.45	 3.95	 0.58	  7.55	 8.92	         	  2
n3370	161.7760	+17.25960	  47494	 24.430	 1.22	24.42	 0.45	 0.44	 0.16	 20.30	 8.77	rej      	  2
n3370	161.7610	+17.26050	  23575	 24.450	 0.94	25.74	 0.23	 0.34	 0.13	  5.02	 8.58	         	  1
n3370	161.7870	+17.26000	  53228	 24.730	 0.86	26.06	 0.24	 2.49	 0.07	  0.80	 8.43	rej      	  1
n3370	161.7680	+17.28080	  23818	 26.330	 1.04	25.20	 0.53	 1.01	 0.66	  7.35	 8.94	         	  4
n3370	161.7610	+17.26230	  22838	 26.380	 1.00	25.16	 0.31	 0.94	 0.07	  0.09	 8.66	         	  1
n3370	161.7700	+17.27850	  81239	 26.420	 0.67	24.69	 0.59	 1.69	 0.93	 60.90	 8.95	         	  1
n3370	161.7750	+17.27540	  39583	 26.870	 0.95	24.50	 0.61	 1.52	 0.75	  9.54	 8.84	         	  1
n3370	161.7820	+17.27270	  48470	 27.350	 1.07	25.61	 0.27	 0.38	 0.17	  7.90	 8.55	         	  1
n3370	161.7560	+17.28050	   5744	 27.740	 1.06	25.33	 0.49	 1.50	 0.54	  8.07	 8.83	         	  2
n3370	161.7800	+17.25610	  51334	 28.790	 0.98	26.88	 0.62	 0.56	 0.26	  0.44	 8.61	rej      	  3
n3370	161.7580	+17.28890	   4531	 29.230	 1.00	25.38	 0.29	 1.15	 0.18	  3.05	 8.71	         	  1
n3370	161.7580	+17.28030	  62219	 29.430	 1.11	25.16	 0.58	 2.50	 0.39	 21.20	 8.89	         	  2
n3370	161.7750	+17.25740	  46992	 29.600	 0.95	25.42	 0.68	 5.34	 0.17	  3.45	 8.72	         	  2
n3370	161.7810	+17.25720	  51430	 30.430	 1.04	24.55	 0.23	 4.61	 0.11	 13.80	 8.62	         	  1
n3370	161.7720	+17.28400	  27556	 30.690	 0.99	25.36	 0.23	 0.55	 0.13	  2.62	 8.70	         	  1
n3370	161.7620	+17.26960	  19943	 30.800	 0.73	24.19	 0.81	 0.60	 0.85	  6.91	 8.97	rej      	  1
n3370	161.7620	+17.27870	  13380	 31.740	 0.85	23.71	 0.79	 0.54	 1.29	 12.50	 9.05	rej      	  2
n3370	161.7660	+17.28580	  15081	 32.560	 1.22	25.12	 0.26	 0.37	 0.12	  0.65	 8.80	         	  2
n3370	161.7610	+17.26860	  18200	 32.860	 1.12	24.54	 0.42	 0.23	 0.17	  7.99	 8.88	         	  1
n3370	161.7650	+17.26700	  26416	 33.400	 1.19	24.68	 0.50	 0.86	 0.34	 24.40	 8.98	         	  1
n3370	161.7840	+17.26090	  52428	 33.480	 1.03	24.80	 0.20	 0.57	 0.01	  2.62	 8.54	         	  2
n3370	161.7730	+17.28140	  31439	 33.490	 1.00	25.28	 0.34	 2.52	 0.24	  3.33	 8.76	         	  2
n3370	161.7630	+17.27520	  17886	 33.560	 1.25	24.35	 0.52	 2.39	 1.48	 75.00	 9.13	         	  1
n3370	161.7800	+17.26420	  49211	 33.570	 0.96	24.57	 0.37	 0.43	 0.20	 12.60	 8.72	         	  1
n3370	161.7850	+17.26580	  52279	 33.690	 1.04	25.26	 0.18	 0.38	 0.03	  0.54	 8.48	         	  2
n3370	161.7560	+17.28350	   4345	 34.070	 1.21	24.82	 0.38	 5.57	 0.28	 17.90	 8.79	         	  2
n3370	161.7520	+17.28580	   1320	 34.580	 1.06	24.81	 0.32	 0.49	 0.15	 15.50	 8.62	         	  1
n3370	161.7610	+17.26970	  17969	 34.710	 1.17	24.43	 0.60	 6.27	 0.53	 19.90	 8.93	         	  1
n3370	161.7610	+17.28070	  10677	 35.240	 1.12	25.00	 0.57	 4.86	 0.49	 16.30	 8.97	         	  2
n3370	161.7630	+17.27240	  19618	 35.660	 1.20	24.81	 0.57	 5.94	 1.16	 38.10	 9.10	         	  1
n3370	161.7680	+17.28100	  22097	 36.020	 0.98	24.08	 0.52	 0.52	 0.50	 37.50	 8.95	         	  3
n3370	161.7810	+17.26100	  50582	 36.690	 1.07	24.74	 0.26	 0.25	 0.08	  2.83	 8.67	         	  1
n3370	161.7570	+17.28390	  59919	 36.990	 0.90	25.07	 0.47	 1.30	 0.33	 16.50	 8.81	         	  2
n3370	161.7750	+17.26240	  45614	 37.020	 0.82	24.45	 0.34	 2.97	 0.25	  2.64	 8.86	         	  1
n3370	161.7690	+17.28640	  21445	 37.100	 1.09	24.94	 0.23	 0.37	 0.09	  3.91	 8.68	         	  2
n3370	161.7590	+17.26540	  16214	 37.210	 1.18	23.10	 0.39	 7.88	 0.06	 57.20	 8.67	rej      	  1
n3370	161.7730	+17.28200	  30965	 37.280	 0.95	24.90	 0.27	 2.20	 0.20	  6.33	 8.74	         	  2
n3370	161.7630	+17.27050	  20306	 37.280	 0.76	24.52	 0.68	 5.55	 1.02	 36.90	 9.02	         	  1
n3370	161.7680	+17.28410	  21506	 38.540	 0.76	24.41	 0.34	 1.84	 0.09	 12.50	 8.80	         	  2
n3370	161.7730	+17.28230	  31251	 39.290	 0.92	24.80	 0.26	 0.14	 0.13	  3.78	 8.72	         	  1
n3370	161.7760	+17.25840	  47492	 39.410	 1.14	24.68	 0.32	 0.86	 0.09	  8.32	 8.75	         	  2
n3370	161.7690	+17.28950	  18990	 40.010	 0.80	24.66	 0.12	 0.33	 0.00	  1.33	 8.56	         	  1
n3370	161.7680	+17.28320	  20732	 41.550	 1.17	23.98	 0.37	 1.52	 0.19	 28.90	 8.86	         	  2
n3370	161.7610	+17.28390	   9431	 43.100	 0.84	24.52	 0.36	 2.43	 0.40	 24.90	 8.89	         	  1
n3370	161.7580	+17.28210	   6440	 43.940	 1.18	24.63	 0.45	 0.69	 0.29	  3.14	 8.86	         	  2
n3370	161.7720	+17.27670	  85483	 44.570	 1.14	23.90	 0.59	 4.94	 0.39	 42.20	 8.93	         	  1
n3370	161.7650	+17.26490	  28504	 44.970	 0.82	24.18	 0.31	 0.80	 0.23	 21.90	 8.90	         	  1
n3370	161.7600	+17.28230	   9014	 45.100	 1.12	25.24	 0.34	 4.86	 0.22	 11.80	 8.91	         	  2
n3370	161.7770	+17.27920	  40168	 45.400	 1.02	23.73	 0.15	 0.73	 0.06	 15.50	 8.64	rej      	  1
n3370	161.7570	+17.28310	   5439	 45.820	 0.97	24.10	 0.25	 0.20	 0.43	 19.60	 8.83	         	  4
n3370	161.7790	+17.26850	  46830	 45.880	 1.07	24.80	 0.35	 3.42	 0.18	  8.22	 8.78	         	  1
n3370	161.7800	+17.27520	  46035	 50.130	 1.09	24.39	 0.19	 2.93	 0.03	  7.59	 8.59	         	  1
n3370	161.7660	+17.26830	  28129	 50.570	 1.12	25.29	 0.72	 0.81	 0.59	 37.50	 9.07	rej      	  1
n3370	161.7570	+17.28270	   5361	 50.600	 0.89	24.42	 0.33	 0.41	 0.33	  9.09	 8.82	         	  4
n3370	161.7700	+17.27970	  28534	 51.150	 0.97	24.72	 0.41	 4.19	 0.23	 25.90	 8.91	         	  0
n3370	161.7780	+17.26020	  48903	 51.680	 1.07	24.40	 0.25	 0.28	 0.11	  7.61	 8.74	         	  4
n3370	161.7640	+17.28080	  15864	 52.410	 1.02	23.68	 0.51	 0.87	 0.24	 21.10	 9.01	         	  1
n3370	161.7550	+17.28080	   4367	 52.720	 1.23	25.34	 0.39	 0.60	 0.17	  1.26	 8.78	rej      	  2
n3370	161.7650	+17.28730	  13303	 52.740	 1.15	24.31	 0.24	 0.34	 0.05	  7.04	 8.75	         	  1
n3370	161.7520	+17.28410	   1528	 60.680	 0.82	24.03	 0.17	 0.22	 0.08	  6.74	 8.63	         	  1
n3370	161.7570	+17.28190	   5501	 62.700	 1.26	23.71	 0.29	 0.64	 0.26	  1.20	 8.83	         	  2
n3370	161.7590	+17.28470	   6706	 64.790	 0.96	24.11	 0.28	 1.38	 0.12	 10.80	 8.84	         	  3
n3370	161.7600	+17.28680	   7014	 66.710	 1.07	23.68	 0.28	 0.14	 0.09	  4.09	 8.79	         	  1
n3370	161.7680	+17.26670	  33669	 67.230	 1.38	23.99	 0.35	 0.70	 0.37	 33.70	 9.06	         	  1
n3370	161.7590	+17.27890	   9063	 68.900	 0.80	23.84	 0.24	 0.88	 0.14	 13.10	 8.92	         	  1
n3370	161.7690	+17.28310	  22612	 69.350	 1.03	23.68	 0.19	 0.17	 0.14	  5.44	 8.83	         	  2
n3370	161.7650	+17.26420	  29662	 71.520	 0.90	23.81	 0.22	 0.36	 0.19	  1.44	 8.88	         	  1
n3370	161.7680	+17.28120	  22718	 73.360	 0.90	23.59	 0.32	 0.18	 0.14	 12.90	 8.93	         	  3
n3370	161.7530	+17.28610	   1454	 79.260	 1.34	24.00	 0.15	 0.19	 0.07	  6.67	 8.63	         	  1
n3370	161.7690	+17.26770	  33346	 80.840	 0.89	24.04	 0.60	 4.44	 0.17	 10.60	 9.10	         	  1
n3370	161.7730	+17.28140	  33195	 81.040	 1.00	23.84	 0.13	 0.23	 0.05	 17.10	 8.72	         	  2
n3370	161.7570	+17.28540	   4471	 83.280	 1.43	23.83	 0.18	 0.18	 0.04	  8.78	 8.78	         	  1
n3370	161.7680	+17.28120	  22098	 86.330	 1.05	23.64	 0.27	 0.44	 0.10	  8.05	 8.94	         	  3
n3370	161.7530	+17.27850	   3205	 88.250	 1.02	23.62	 0.13	 0.49	 0.00	  7.03	 8.66	         	  1
n3370	161.7680	+17.26970	  31067	 88.540	 1.14	24.73	 0.71	 3.19	 1.12	 54.10	 9.17	rej      	  1
n3370	161.7780	+17.26000	  48741	 96.480	 0.97	23.75	 0.13	 0.03	 0.05	  7.22	 8.75	         	  4
n3370	161.7610	+17.28790	   8038	 96.820	 1.09	23.35	 0.12	 0.37	 0.02	  1.43	 8.76	         	  1
n3370	161.7620	+17.27220	  17501	 98.720	 1.07	23.79	 0.41	 3.27	 0.17	 39.40	 9.02	         	  1
n3982	179.1090	+55.13040	  48062	 20.840	 0.62	25.24	 0.56	 3.88	 1.42	 44.00	 9.04	         	  0
n3982	179.1170	+55.13390	  35102	 21.380	 0.90	24.67	 0.46	 0.63	 0.80	  7.47	 8.98	         	  0
n3982	179.1330	+55.11490	  16746	 21.460	 1.05	25.16	 0.35	 3.08	 0.12	  2.83	 8.64	         	  0
n3982	179.1260	+55.13240	  20027	 22.730	 1.00	25.58	 0.52	 3.25	 0.92	 11.60	 8.97	         	  0
n3982	179.1300	+55.12050	  85628	 23.580	 0.92	24.60	 0.48	 2.07	 0.65	 16.80	 8.92	         	  0
n3982	179.1130	+55.13700	  40688	 23.690	 0.86	25.24	 0.51	 2.80	 0.29	  5.17	 8.78	         	  0
n3982	179.1130	+55.10550	  51886	 24.550	 1.10	25.05	 0.18	 0.70	 0.01	  1.59	 8.36	         	  0
n3982	179.0970	+55.12080	  65962	 24.580	 0.86	26.43	 0.59	 0.82	 0.19	  6.04	 8.70	rej      	  1
n3982	179.1030	+55.12960	  57905	 25.240	 0.68	25.42	 0.41	 0.73	 0.74	 15.60	 8.88	         	  0
n3982	179.1210	+55.13140	  86821	 25.360	 0.75	25.35	 0.65	 3.65	 1.44	 39.40	 9.10	         	  0
n3982	179.1250	+55.13330	  21186	 26.780	 0.61	23.99	 0.42	 1.04	 0.46	  4.33	 8.94	rej      	  0
n3982	179.1090	+55.12950	  49777	 27.330	 0.79	25.66	 0.89	 4.69	 1.25	 51.20	 9.05	rej      	  0
n3982	179.1000	+55.11020	  65677	 28.580	 1.28	22.76	 0.15	 3.81	 0.02	 82.20	 8.44	rej      	  0
n3982	179.1210	+55.11460	  35316	 29.030	 1.20	24.77	 0.45	 4.48	 0.62	 16.40	 8.84	         	  0
n3982	179.0850	+55.12250	  72633	 32.520	 1.13	25.68	 0.28	 0.68	 0.00	  2.96	 8.32	rej      	  1
n3982	179.1190	+55.11380	  39405	 33.840	 0.75	23.21	 0.36	 0.87	 0.20	 51.10	 8.81	rej      	  0
n3982	179.1390	+55.11870	  10406	 34.200	 1.25	24.80	 0.16	 0.41	 0.03	  1.79	 8.57	         	  0
n3982	179.1290	+55.11560	  21055	 37.340	 1.22	24.48	 0.24	 1.12	 0.11	 13.20	 8.76	         	  0
n3982	179.1310	+55.12280	  16117	 37.990	 1.12	24.37	 0.36	 1.49	 0.26	 17.30	 8.93	         	  1
n3982	179.1370	+55.12770	  10837	 38.470	 1.10	24.19	 0.26	 0.47	 0.07	 20.90	 8.77	         	  1
n3982	179.0940	+55.10950	  69280	 38.680	 1.19	24.39	 0.12	 0.34	 0.02	  3.78	 8.28	         	  1
n3982	179.1280	+55.13050	  17690	 39.190	 1.09	25.51	 0.58	 2.32	 0.56	 37.20	 8.98	rej      	  1
n3982	179.0980	+55.12000	  82298	 40.310	 0.82	24.41	 0.25	 1.04	 0.17	 17.90	 8.72	         	  1
n3982	179.0960	+55.11320	  67799	 40.440	 1.01	24.54	 0.12	 0.10	 0.00	  2.51	 8.46	         	  1
n3982	179.1380	+55.12530	  10346	 40.440	 1.27	24.11	 0.21	 1.04	 0.07	 13.00	 8.72	         	  1
n3982	179.1220	+55.11770	  32060	 40.720	 1.26	25.03	 0.58	 2.49	 0.54	  7.58	 8.99	         	  0
n3982	179.0860	+55.12170	  72603	 51.610	 0.92	23.95	 0.13	 0.17	 0.00	  2.40	 8.32	         	  0
n3982	179.1060	+55.12780	  89486	 62.440	 0.88	23.28	 0.40	 4.86	 0.44	 34.20	 9.02	         	  0
n3982	179.1340	+55.13050	  12402	 72.360	 1.00	23.06	 0.28	 0.54	 0.02	 15.50	 8.82	         	  0
n3021	147.7250	+33.55500	  71145	 16.120	 0.67	24.88	 0.36	 0.11	 0.26	  4.11	 8.73	rej      	  0
n3021	147.7310	+33.55820	  64603	 16.280	 1.27	26.28	 0.75	 7.71	 1.24	 26.20	 9.01	         	  0
n3021	147.7490	+33.55170	  29320	 18.680	 0.73	25.66	 0.69	 3.30	 1.29	 27.90	 8.90	         	  2
n3021	147.7500	+33.54720	  26176	 19.470	 0.73	25.56	 0.39	 0.47	 0.33	  1.11	 8.67	         	  0
n3021	147.7370	+33.56010	  54363	 20.450	 1.13	26.89	 0.76	 4.88	 0.61	  6.35	 8.80	rej      	  0
n3021	147.7420	+33.54900	  42349	 20.560	 0.77	25.08	 0.44	 2.33	 1.46	 51.10	 9.10	         	  0
n3021	147.7470	+33.55660	  35001	 20.990	 0.96	25.48	 0.60	 6.21	 0.73	 17.20	 8.77	         	  1
n3021	147.7260	+33.55580	  70351	 22.570	 0.92	24.43	 0.56	 0.23	 0.49	  6.29	 8.82	rej      	  2
